Date,Symbol,Open,High,Low,Close,Volume,Volume_Millions,Year,Month,Quarter,Weekday,Month_Name
2023-09-18,AAPL,174.76814563074643,177.64002479353724,174.46115503817452,176.2436981201172,67257600,67.2576,2023,9,Q3,Monday,September
2023-09-18,GOOGL,135.6742440861328,138.2067800272706,135.6742440861328,137.26329040527344,21861300,21.8613,2023,9,Q3,Monday,September
2023-09-18,MSFT,322.93337930199704,325.494785002062,321.5147555316382,324.1746826171875,16834200,16.8342,2023,9,Q3,Monday,September
2023-09-19,AAPL,175.79805509398693,177.88758863735939,175.41183870970377,177.33302307128906,51826900,51.8269,2023,9,Q3,Tuesday,September
2023-09-19,GOOGL,136.47867322685593,137.46189719712714,135.6841501840954,137.09442138671875,20353700,20.3537,2023,9,Q3,Tuesday,September
2023-09-19,MSFT,321.32762034749874,324.49981670881084,319.69226147159173,323.7707824707031,16505900,16.5059,2023,9,Q3,Tuesday,September
2023-09-20,AAPL,177.52118590379774,177.95692035427507,173.69862701203755,173.7877655029297,58436200,58.4362,2023,9,Q3,Wednesday,September
2023-09-20,GOOGL,137.1341818172231,137.1341818172231,132.70472524498294,132.82391357421875,29927500,29.9275,2023,9,Q3,Wednesday,September
2023-09-20,MSFT,324.6180468666076,324.69684594431357,315.7516624314958,316.0077819824219,21436500,21.4365,2023,9,Q3,Wednesday,September
2023-09-21,AAPL,172.856870429388,174.5898954535224,172.17356100214752,172.2428741455078,63149100,63.1491,2023,9,Q3,Thursday,September
2023-09-21,GOOGL,130.5396743209516,131.32425636882158,129.1790632961711,129.54652404785156,31503900,31.5039,2023,9,Q3,Thursday,September
2023-09-21,MSFT,314.520182651958,320.5197651300431,310.32341823236436,314.7861633300781,35560400,35.5604,2023,9,Q3,Thursday,September
2023-09-22,AAPL,172.97571228348323,175.36233909077248,172.36173107244514,173.09454345703125,56725400,56.7254,2023,9,Q3,Friday,September
2023-09-22,GOOGL,129.86430445123077,131.12560934891957,128.71226182736228,129.35780334472656,26397300,26.3973,2023,9,Q3,Friday,September
2023-09-22,MSFT,316.54962990690495,316.6777047127133,311.45637147338414,312.3036193847656,21447900,21.4479,2023,9,Q3,Friday,September
2023-09-25,AAPL,172.51025571431984,175.25339092524624,172.46073769252675,174.3720245361328,46172700,46.1727,2023,9,Q3,Monday,September
2023-09-25,GOOGL,128.94068310930032,130.27150064557682,128.0766473461499,130.2119140625,20094600,20.0946,2023,9,Q3,Monday,September
2023-09-25,MSFT,311.88983649741465,312.9538194326375,310.3234455703718,312.82574462890625,17836000,17.836,2023,9,Q3,Monday,September
2023-09-26,AAPL,173.12423523842645,173.50053892393993,169.9948839374697,170.29197692871094,64588900,64.5889,2023,9,Q3,Tuesday,September
2023-09-26,GOOGL,128.88110828778912,129.46706328054253,126.34857219602962,127.6893310546875,25718700,25.7187,2023,9,Q3,Tuesday,September
2023-09-26,MSFT,310.45155145037705,311.19041687093375,305.4173994181049,307.5059509277344,26297600,26.2976,2023,9,Q3,Tuesday,September
2023-09-27,AAPL,170.94559986493434,171.3615240971404,167.41023633579258,168.77684020996094,66921800,66.9218,2023,9,Q3,Wednesday,September
2023-09-27,GOOGL,127.6893361771831,130.00336294677095,127.6893361771831,129.6458282470703,22746500,22.7465,2023,9,Q3,Wednesday,September
2023-09-27,MSFT,307.6634944681224,309.63380190644403,305.09225769207535,308.146240234375,19410100,19.4101,2023,9,Q3,Wednesday,September
2023-09-28,AAPL,167.69740591218968,170.36131544966938,165.99408862675534,169.03431701660156,56294400,56.2944,2023,9,Q3,Thursday,September
2023-09-28,GOOGL,128.9506045787111,132.38691057211608,128.9009440431534,131.4036865234375,22513100,22.5131,2023,9,Q3,Thursday,September
