Date,Symbol,EWMA_Volatility_Simple,EWMA_Volatility_Log,EWMA_Volatility_Simple_Pct,EWMA_Volatility_Log_Pct,Volatility_Level,Year,Month,Quarter,Month_Name
2023-09-19,AAPL,,,,,Low,2023,9,Q3,September
2023-09-19,GOOGL,,,,,Low,2023,9,Q3,September
2023-09-19,MSFT,,,,,Low,2023,9,Q3,September
2023-09-20,AAPL,0.2937898160184236,0.2958498585199429,29.37898160184236,29.58498585199429,Medium,2023,9,Q3,September
2023-09-20,GOOGL,0.3358496488788124,0.34140291581045534,33.58496488788124,34.14029158104553,High,2023,9,Q3,September
2023-09-20,MSFT,0.2551537992566113,0.25842415605684627,25.51537992566113,25.842415605684625,Medium,2023,9,Q3,September
2023-09-21,AAPL,0.2050301908673488,0.20641271978758066,20.50301908673488,20.641271978758066,Medium,2023,9,Q3,September
2023-09-21,GOOGL,0.24540582306257497,0.24924134522914043,24.540582306257498,24.924134522914045,Medium,2023,9,Q3,September
2023-09-21,MSFT,0.19674682216005834,0.19937622640719,19.674682216005834,19.937622640719,Low,2023,9,Q3,September
2023-09-22,AAPL,0.1952784755443601,0.19654639716752773,19.527847554436008,19.654639716752772,Low,2023,9,Q3,September
2023-09-22,GOOGL,0.24628842969523182,0.25009776514255855,24.62884296952318,25.009776514255854,Medium,2023,9,Q3,September
2023-09-22,MSFT,0.1588401651394148,0.16099781261007423,15.884016513941479,16.099781261007422,Low,2023,9,Q3,September
2023-09-25,AAPL,0.18787976116655647,0.18897409278976796,18.787976116655646,18.897409278976795,Low,2023,9,Q3,September
2023-09-25,GOOGL,0.26217942772040115,0.26557276579496447,26.217942772040114,26.557276579496445,Medium,2023,9,Q3,September
2023-09-25,MSFT,0.15773604924379647,0.15961926728850134,15.773604924379647,15.961926728850134,Low,2023,9,Q3,September
2023-09-26,AAPL,0.22265344078497837,0.22438328287344986,22.265344078497836,22.438328287344987,Medium,2023,9,Q3,September
2023-09-26,GOOGL,0.23996836857842524,0.2428980498249811,23.996836857842524,24.289804982498108,Medium,2023,9,Q3,September
